Category,Subcategory,Mean,Std,Min,Max,Samples,Best_Pitcher,Best_Pitcher_Impact,25th_Percentile,75th_Percentile
Team,Overall,-0.0007655966618066986,0.018983144060162504,-0.048,0.048,10500,"Lane, Carson",-0.0007457194449238492,-0.0016576873648468508,0.007037742637422305
Phase,Early,0.016678420882714293,0.011147808248618581,0.0,0.048,3500,"Bland, Yates",0.016862312233605365,-0.0016576873648468508,0.007037742637422305
Phase,Middle,0.0,0.0,0.0,0.0,3500,"Albright, Cody",0.0,-0.0016576873648468508,0.007037742637422305
Phase,Late,-0.01897521086813439,0.01789859739704716,-0.048,0.0,3500,"Lane, Carson",-0.018482556706171837,-0.0016576873648468508,0.007037742637422305
Score_Context,Down Lots,0.002062637952598417,0.007288956130824484,-0.01687663460320777,0.028858286682193982,2100,"Bland, Yates",0.002085379990478971,-0.0016576873648468508,0.007037742637422305
Score_Context,Down Little,-0.002905204013579317,0.022728876030247428,-0.04000000000000001,0.04000000000000001,2100,"Lane, Carson",-0.002829776085078996,-0.0016576873648468508,0.007037742637422305
Score_Context,Tight,-0.005813599033213018,0.029751953282139545,-0.048,0.048,2100,"Lane, Carson",-0.0056626603279940095,-0.0016576873648468508,0.007037742637422305
Score_Context,Up Little,0.001467983104195974,0.01684035607568384,-0.04000000000000001,0.04000000000000001,2100,"Gomberg, Jacob",0.0014841686530566367,-0.0016576873648468508,0.007037742637422305
Score_Context,Up Lots,0.0013601986809644517,0.004048309510497788,-0.01247867830549272,0.01764938318593771,2100,"Donegan, Josh",0.0013751958305556367,-0.0016576873648468508,0.007037742637422305
Situation,Early_Down Lots,0.009738373813614377,0.007041485459592642,0.0005786057307424887,0.028858286682193982,700,"Bland, Yates",0.009845746251848248,-0.0016576873648468508,0.007037742637422305
Situation,Early_Down Little,0.02142745791557347,0.008521955170504813,0.008541281933549255,0.04000000000000001,700,"Bland, Yates",0.021663710748498446,-0.0016576873648468508,0.007037742637422305
Situation,Early_Tight,0.02641474653129908,0.010105358076763842,0.016426196514246857,0.048,700,"Gomberg, Jacob",0.026705987737960325,-0.0016576873648468508,0.007037742637422305
Situation,Early_Up Little,0.020261790984474563,0.008895519538487618,0.007272898065551222,0.04000000000000001,700,"Bland, Yates",0.020485191517523177,-0.0016576873648468508,0.007037742637422305
Situation,Early_Up Lots,0.005549735168609986,0.0039987951734983245,0.0,0.01764938318593771,700,"Bland, Yates",0.005610924912196626,-0.0016576873648468508,0.007037742637422305
Situation,Middle_Down Lots,0.0,0.0,0.0,0.0,700,"Albright, Cody",0.0,-0.0016576873648468508,0.007037742637422305
Situation,Middle_Down Little,0.0,0.0,0.0,0.0,700,"Albright, Cody",0.0,-0.0016576873648468508,0.007037742637422305
Situation,Middle_Tight,0.0,0.0,0.0,0.0,700,"Albright, Cody",0.0,-0.0016576873648468508,0.007037742637422305
Situation,Middle_Up Little,0.0,0.0,0.0,0.0,700,"Albright, Cody",0.0,-0.0016576873648468508,0.007037742637422305
Situation,Middle_Up Lots,0.0,0.0,0.0,0.0,700,"Albright, Cody",0.0,-0.0016576873648468508,0.007037742637422305
Situation,Late_Down Lots,-0.0035504599558191263,0.0038913273183672783,-0.01687663460320777,0.0,700,"Lane, Carson",-0.0034582792213718972,-0.0016576873648468508,0.007037742637422305
Situation,Late_Down Little,-0.03014306995631142,0.01158962204715709,-0.04000000000000001,-0.005969363678860363,700,"Lane, Carson",-0.029360464220253783,-0.0016576873648468508,0.007037742637422305
Situation,Late_Tight,-0.04385554363093813,0.005717710686020842,-0.048,-0.029584681072396878,700,"Lane, Carson",-0.042716920390065756,-0.0016576873648468508,0.007037742637422305
Situation,Late_Up Little,-0.01585784167188664,0.010769852395635384,-0.04000000000000001,-0.0017901880073122006,700,"Lane, Carson",-0.015446123891584245,-0.0016576873648468508,0.007037742637422305
Situation,Late_Up Lots,-0.0014691391257166306,0.002403381064993752,-0.01247867830549272,0.0,700,"Lane, Carson",-0.0014309958075835085,-0.0016576873648468508,0.007037742637422305
